Guid ID,Polish,English,German
6d16b62b-31a5-4ef7-b6c9-5c62b4e4b512,"Skoro twój mem nie trafił na główną, to znaczy, że był chujowy. Miał za mało plusów.","",""
3e45708a-8fe4-4cfc-866c-3129345f5dc1,"Mój mem miał więcej plusów niż inne memy na głównej","Continue","Continue"
7cf0e056-29ba-4f11-b73e-0ad8bddf5ca0,"Wrzucaj mojego mema, chuju, albo cię zajebię!","Continue","Continue"
841905a6-be44-4017-b129-932d9d0729c3,"Wcale nie był chujowy!","Continue","Continue"
c2fb9e2f-a731-4701-8035-57dd212bccef,"[Zakończ] No cóż, trudno...","Continue","Continue"
e0b2b598-3d2e-42a4-b0fa-021e254a41fe,"A co mnie obchodzą plusy? Turmalinę też być chciał widzieć na głównej?","",""
f6f2d462-6968-4167-8e27-e01016fa2ea1,"A dałoby się zrobić, aby wylądował na głównej?","Continue","Continue"
0d34f8b4-0838-4ada-90a8-3278fbc8b0fe,"[Zakończ] Dobra, wypierdalaj.","Continue","Continue"
72141238-2bec-46a4-8bfb-472cea2ae12f,"....","",""
696a3355-84a5-4e11-9505-4ece851fe674,"Siema, psojebco","Continue","Continue"
2fd2fc57-5235-4413-946b-914bd9d9227b,"[Zakończ]","Continue","Continue"
7f9e5187-6cb5-4cb1-8568-2db1b5203dd2,"Masz jakiś problem?","",""
1bf9f53c-ea27-4bc7-a9f1-4a8c2ed24e6c,"Tak, z twoją mordą kutasiarzu","Continue","Continue"
b3190d80-25d6-463f-84de-97b8b7f5f19e,"Tak, mój mem nie trafił na główną","Continue","Continue"
f4fb795d-9dd1-4174-a20a-3acaf292bd10,"W zasadzie to nie","Continue","Continue"
39047d9c-a591-4db6-ae90-b2be443809b0,"[Zakończ] Wypierdalaj","Continue","Continue"
dc2ee214-255f-4a33-9912-a08822ba0879,"Tak, przynieś mi swojego psa.","",""
b641810b-09d7-44d2-97f4-bcb82e5c0afe,"No chyba cię pojebało?!","Continue","Continue"
53314355-712c-44bb-9c42-52791d212ad5,"Ale ja nie mam psa","Continue","Continue"
d06bb1de-69bb-4085-a069-cf25bf62dcc9,"[Zakończ] No dobra","Continue","Continue"
26d219d0-cd82-4011-a959-1d93116686e0,"Masz przejebane!","",""
0a4620ac-16ca-4748-8ff2-6f0ffdb93ca0,"[Walka]","Continue","Continue"
aabf5f28-8ff7-4628-835a-d6abeb7fbfbe,"Ożesz ty chuju. Dla własnego bezpieczeństwa lepiej usuń konto","",""
a05dfb1e-31fc-4c6c-81c6-2f6ee3aad2cd,"Sam se usuń, cwelu!","Continue","Continue"
5a36f1da-1fb1-4eb4-8e1f-3764aa23dfdf,"[Zakończ] To ja już wypierdalam...","Continue","Continue"
224fa710-745c-410c-9213-20d16a693934,"To na chuj mi zawracasz dupę?","",""
1ea03cb9-406e-478b-84ed-42b3cd967ca0,"[Walka] Mam z ciebie bekę psojebco xD","Continue","Continue"
65d25ef8-77a0-43b2-a524-c8c1195114a1,"[Zakończ] Właściwie to bez powodu...","Continue","Continue"
bdfb8821-2a2b-4cf1-ba2b-bfa2ef9f3d5b,"Owszem, był chujowy. Co to w ogóle ma być za mem?! A gdzie nosacz, albo pieseł? To przecież w ogóle nie jest śmieszne. Weź wypierdalaj.","",""
5e3cca8b-da30-402d-9d77-58077262341f,"[Zakończ]","Continue","Continue"
ccd7410c-c0c0-42bb-872c-08e04ca24669,"Czy to dziala?","",""
05148364-32b1-403c-9979-225b87846a1c,"Tak","Continue","Continue"
a2715016-7e21-4dfe-be5a-c2729d4c53ff,"Nie","Continue","Continue"
5d0a5b80-eb1e-4db7-928a-2d228249158a,"siema elo super gierka","",""
24139d85-1583-4fe1-9e42-da47ac09ca39,"Continue","Continue","Continue"
6b3ce239-1f5d-4ef9-855c-af2777d44503,"Continue","Continue","Continue"
66ea56e3-b300-4108-85b5-e2d26d453b12,"Siema chcesz itema?","",""
c9a938da-8a29-4869-abe2-6e0b788756b3,"Chce","Continue","Continue"
17304119-2abc-41d2-b612-70a58e209ce5,"Nie chce","Continue","Continue"
b3c1541d-fc73-4a5d-8aca-9e2381c53ef2,"Troche chce","Continue","Continue"
